Number of nodes 366 
   345 :  4.8092337e+00  3.1381551e+00 
   346 :  4.9342105e+00  2.5756148e+00 
   347 : -3.8838198e+00  1.3715154e+00 
   348 : -6.0850162e-01  5.3539961e+00 
   349 : -2.2167479e+00  7.5584956e-01 
   350 : -3.9514915e-01  4.9118057e+00 
   351 :  2.4900414e+00  5.5121642e+00 
   352 :  4.7460661e+00  3.4175460e+00 
   353 :  3.9111332e+00  4.0991775e+00 
   354 :  4.9977157e+00  2.2846105e+00 
   355 :  4.6823669e+00  3.6990732e+00 
   356 : -3.8575137e+00  1.2301507e+00 
   357 : -3.8384877e+00  1.0786310e+00 
   358 :  3.4852115e+00  5.7151246e+00 
   359 :  2.7689662e+00  5.5802056e+00 
   360 : -4.9312576e-01  4.6008710e+00 
   361 : -2.6619877e-01  4.9696480e+00 
   362 : -2.4875336e+00  8.2087137e-01 
   363 :  5.0495560e+00  2.0112388e+00 
   364 :  4.0730372e+00  4.2991779e+00 
   365 :  4.6176455e+00  3.9470583e+00 
Number of edges 229 
     0 :      0      1 
     1 :      2     23 
     2 :     23     24 
     3 :     24     25 
     4 :     25     26 
     5 :     26     27 
     6 :     27     28 
     7 :     28     29 
     8 :     29     30 
     9 :     30     31 
    10 :     31     32 
    11 :     32     33 
    12 :     33     34 
    13 :     34     35 
    14 :     35      3 
    15 :      3      4 
    16 :      4     36 
    17 :     36     37 
    18 :     37     38 
    19 :     38     39 
    20 :     39     40 
    21 :     40     41 
    22 :     41     42 
    23 :     42     43 
    24 :     43     44 
    25 :     44     45 
    26 :     45     46 
    27 :     46     47 
    28 :     47     48 
    29 :     48     49 
    30 :     49     50 
    31 :     50      5 
    32 :      5     51 
    33 :     51      6 
    34 :      6     52 
    35 :     52      7 
    36 :      7     53 
    37 :     53      8 
    38 :      8     54 
    39 :     54     55 
    40 :     55     56 
    41 :     56     57 
    42 :     57     58 
    43 :     58     59 
    44 :     59     60 
    45 :     60     61 
    46 :     61     62 
    47 :     62     63 
    48 :     63     64 
    49 :     64     65 
    50 :     65     66 
    51 :     66     67 
    52 :     67     68 
    53 :     68     69 
    54 :     69     70 
    55 :     70     71 
    56 :     71     72 
    57 :     72      9 
    58 :      9     73 
    59 :     73      0 
    60 :      1     10 
    61 :     10     74 
    62 :     74     75 
    63 :     75     76 
    64 :     76     77 
    65 :     77     78 
    66 :     78     79 
    67 :     79     80 
    68 :     80     81 
    69 :     81     82 
    70 :     82     83 
    71 :     83     84 
    72 :     84     85 
    73 :     85     86 
    74 :     86     11 
    75 :     11     87 
    76 :     87     12 
    77 :     12     88 
    78 :     88     89 
    79 :     89     90 
    80 :     90     91 
    81 :     91     92 
    82 :     92     93 
    83 :     93     94 
    84 :     94     95 
    85 :     95     96 
    86 :     96     97 
    87 :     97     98 
    88 :     98     99 
    89 :     99    100 
    90 :    100    101 
    91 :    101    102 
    92 :    102    103 
    93 :    103    104 
    94 :    104    105 
    95 :    105    106 
    96 :    106    107 
    97 :    107    108 
    98 :    108    109 
    99 :    109     13 
   100 :     13    110 
   101 :    110    111 
   102 :    111    112 
   103 :    112    113 
   104 :    113    114 
   105 :    114    115 
   106 :    115    116 
   107 :    116    117 
   108 :    117    118 
   109 :    118     14 
   110 :     14      2 
   111 :     15    119 
   112 :    119    120 
   113 :    120    121 
   114 :    121    122 
   115 :    122    123 
   116 :    123    124 
   117 :    124    125 
   118 :    125    126 
   119 :    126    127 
   120 :    127    128 
   121 :    128    129 
   122 :    129    130 
   123 :    130    131 
   124 :    131     16 
   125 :     16     17 
   126 :     17    132 
   127 :    132    133 
   128 :    133    134 
   129 :    134    135 
   130 :    135    136 
   131 :    136    137 
   132 :    137    138 
   133 :    138    139 
   134 :    139    140 
   135 :    140    141 
   136 :    141    142 
   137 :    142    143 
   138 :    143    144 
   139 :    144    145 
   140 :    145    146 
   141 :    146    147 
   142 :    147    148 
   143 :    148    149 
   144 :    149     18 
   145 :     18    150 
   146 :    150    151 
   147 :    151    152 
   148 :    152    153 
   149 :    153    154 
   150 :    154    155 
   151 :    155    156 
   152 :    156    157 
   153 :    157    158 
   154 :    158    159 
   155 :    159    160 
   156 :    160    161 
   157 :    161    162 
   158 :    162    163 
   159 :    163    164 
   160 :    164    165 
   161 :    165    166 
   162 :    166    167 
   163 :    167    168 
   164 :    168     15 
   165 :     19    169 
   166 :    169    170 
   167 :    170    171 
   168 :    171    172 
   169 :    172    173 
   170 :    173    174 
   171 :    174    175 
   172 :    175    176 
   173 :    176    177 
   174 :    177    178 
   175 :    178    179 
   176 :    179    180 
   177 :    180    181 
   178 :    181    182 
   179 :    182    183 
   180 :    183    184 
   181 :    184     20 
   182 :     20    185 
   183 :    185    186 
   184 :    186     21 
   185 :     21    187 
   186 :    187    188 
   187 :    188    189 
   188 :    189    190 
   189 :    190    191 
   190 :    191    192 
   191 :    192    193 
   192 :    193    194 
   193 :    194    195 
   194 :    195    196 
   195 :    196    197 
   196 :    197    198 
   197 :    198    199 
   198 :    199    200 
   199 :    200    201 
   200 :    201    202 
   201 :    202    203 
   202 :    203    204 
   203 :    204    205 
   204 :    205    206 
   205 :    206    207 
   206 :    207    208 
   207 :    208    209 
   208 :    209     22 
   209 :     22    210 
   210 :    210    211 
   211 :    211    212 
   212 :    212    213 
   213 :    213    214 
   214 :    214    215 
   215 :    215    216 
   216 :    216    217 
   217 :    217    218 
   218 :    218    219 
   219 :    219    220 
   220 :    220    221 
   221 :    221    222 
   222 :    222    223 
   223 :    223    224 
   224 :    224    225 
   225 :    225    226 
   226 :    226    227 
   227 :    227    228 
   228 :    228     19 
Number of triangles 505 
     0 :     76    362    128
     1 :     37     38    182
     2 :    169    246    243
     3 :     49    284     48
     4 :     77    362     76
     5 :    170    246    169
     6 :     10    357      0
     7 :    132    273     17
     8 :     13    110     31
     9 :     21     33    186
    10 :    183     37    182
    11 :     23    118     14
    12 :    129     76    128
    13 :     20     35      3
    14 :     88    295    250
    15 :    250    295     22
    16 :     48    247     47
    17 :     32     13     31
    18 :      8    330    302
    19 :     36    334      4
    20 :     48    284    247
    21 :     33     34    186
    22 :    247    251     47
    23 :     52      7     53
    24 :     75     76    129
    25 :     23     14      2
    26 :    262    285     44
    27 :     53    302     52
    28 :     45    262     44
    29 :    130     75    129
    30 :     74     75    130
    31 :    285    309     44
    32 :     20      3      4
    33 :    131     74    130
    34 :     86    248     85
    35 :     96    317    316
    36 :    186     34    185
    37 :     46    254     45
    38 :    254    262     45
    39 :      8    302     53
    40 :     44    309     43
    41 :     47    251     46
    42 :    248    337     15
    43 :    321    329     81
    44 :     34     35    185
    45 :    248    253     85
    46 :    302    330    242
    47 :     16    357    270
    48 :     13    341    187
    49 :    296    321     81
    50 :     96    316     95
    51 :    251    254     46
    52 :     82    296     81
    53 :    270    357     10
    54 :    185     35     20
    55 :     54    294    259
    56 :    259    294     18
    57 :     81    329     80
    58 :     83    277     82
    59 :    277    296     82
