Size 5075 
 9.9141412e+07 9.9113240e+07-0.0000000e+00-0.0000000e+00 2.3141056e+08
 9.9203024e+07 9.9170337e+07-8.1729020e-05-8.1729020e-05 2.3154385e+08
 9.9297898e+07 9.9261218e+07-0.0000000e+00-0.0000000e+00 2.3175584e+08
 9.9372007e+07 9.9331960e+07-0.0000000e+00-0.0000000e+00 2.3192036e+08
 9.9444305e+07 9.9401627e+07-0.0000000e+00-0.0000000e+00 2.3208150e+08
 9.9447927e+07 9.9403537e+07-8.1816688e-05-8.1816688e-05 2.3208316e+08
 9.9452149e+07 9.9407355e+07-0.0000000e+00-0.0000000e+00 2.3208719e+08
 9.9455424e+07 9.9411321e+07-0.0000000e+00-0.0000000e+00 2.3208936e+08
 9.9889448e+07 9.8618613e+07-8.1799821e-05-8.1799821e-05 2.3309380e+08
 1.0052335e+08 1.0105227e+08-0.0000000e+00-0.0000000e+00 2.3494386e+08
 1.0086628e+08 1.0003873e+08-0.0000000e+00-0.0000000e+00 2.3563740e+08
 1.0099849e+08 9.9649664e+07-0.0000000e+00-0.0000000e+00 2.3559250e+08
 1.0086230e+08 1.0124724e+08-0.0000000e+00-0.0000000e+00 2.3634422e+08
 1.0113665e+08 1.0079999e+08-8.3476360e-05-8.3476360e-05 2.3659590e+08
 1.0291569e+08 1.0063037e+08-0.0000000e+00-0.0000000e+00 2.3696773e+08
 1.0117927e+08 1.0009357e+08-8.0406364e-05-8.0406364e-05 2.3611990e+08
 1.0114179e+08 9.9938630e+07-0.0000000e+00-0.0000000e+00 2.3594004e+08
 9.9811143e+07 9.9159851e+07-1.1071260e-04-1.1071260e-04 2.3531911e+08
 1.0117326e+08 1.0014466e+08-0.0000000e+00-0.0000000e+00 2.3615854e+08
 1.0115803e+08 1.0013716e+08-1.1027187e-04-1.1027187e-04 2.3615172e+08
 1.0127259e+08 1.0010648e+08-1.1094202e-04-1.1094202e-04 2.3618336e+08
 1.0135337e+08 1.0000818e+08-0.0000000e+00-0.0000000e+00 2.3618307e+08
 9.9489651e+07 1.0013827e+08-0.0000000e+00-0.0000000e+00 2.3567296e+08
 9.9958860e+07 1.0070838e+08-1.4831488e-04-1.4831488e-04 2.3602533e+08
 1.0141381e+08 1.0141492e+08-1.4878851e-04-1.4878851e-04 2.3668541e+08
 1.0141002e+08 1.0136340e+08-0.0000000e+00-0.0000000e+00 2.3668060e+08
 1.0139411e+08 1.0057354e+08-0.0000000e+00-0.0000000e+00 2.3674499e+08
 1.0159974e+08 1.0152619e+08-1.4829576e-04-1.4829576e-04 2.3717603e+08
 1.0130750e+08 1.0129043e+08-0.0000000e+00-0.0000000e+00 2.3709292e+08
 1.0161608e+08 1.0156738e+08-1.4950539e-04-1.4950539e-04 2.3727289e+08
 1.0129380e+08 1.0116863e+08-1.5179598e-04-1.5179598e-04 2.3706016e+08
 1.0157695e+08 1.0155837e+08-1.5191734e-04-1.5191734e-04 2.3726447e+08
 1.0142801e+08 1.0107544e+08-0.0000000e+00-0.0000000e+00 2.3707809e+08
 1.0152166e+08 1.0151844e+08-1.5540814e-04-1.5540814e-04 2.3724137e+08
 1.0167183e+08 1.0109059e+08-1.5931132e-04-1.5931132e-04 2.3716001e+08
 1.0204912e+08 1.0102489e+08-0.0000000e+00-0.0000000e+00 2.3727215e+08
 1.0148389e+08 1.0142070e+08-0.0000000e+00-0.0000000e+00 2.3724166e+08
 1.0267632e+08 1.0083420e+08-0.0000000e+00-0.0000000e+00 2.3744506e+08
 1.0140243e+08 1.0110022e+08-0.0000000e+00-0.0000000e+00 2.3701565e+08
 1.0112883e+08 1.0073485e+08-1.5975403e-04-1.5975403e-04 2.3659270e+08
 1.0109323e+08 1.0017668e+08-0.0000000e+00-0.0000000e+00 2.3621672e+08
 1.0013836e+08 1.0080542e+08-1.6109114e-04-1.6109114e-04 2.3611095e+08
 1.0028369e+08 1.0115552e+08-8.5977741e-05-8.5977741e-05 2.3624293e+08
 1.0024979e+08 1.0029683e+08-1.7965262e-04-1.7965262e-04 2.3590395e+08
 1.0137341e+08 1.0129624e+08-0.0000000e+00-0.0000000e+00 2.3656279e+08
 1.0056311e+08 1.0190954e+08-9.2582838e-05-9.2582838e-05 2.3652043e+08
 1.0140861e+08 1.0134085e+08-9.2766782e-05-9.2766782e-05 2.3662754e+08
 1.0119491e+08 1.0201243e+08-0.0000000e+00-0.0000000e+00 2.3690519e+08
 1.0157034e+08 1.0152711e+08-0.0000000e+00-0.0000000e+00 2.3703695e+08
 1.0166308e+08 1.0219071e+08-1.9326235e-04-1.9326235e-04 2.3739603e+08
 1.0163874e+08 1.0161195e+08-0.0000000e+00-0.0000000e+00 2.3721665e+08
 1.0187310e+08 1.0208792e+08-1.9547893e-04-1.9547893e-04 2.3743246e+08
 1.0163883e+08 1.0162138e+08-9.7803292e-05-9.7803292e-05 2.3722484e+08
 1.0197591e+08 1.0204833e+08-0.0000000e+00-0.0000000e+00 2.3745695e+08
 1.0078675e+08 1.0140420e+08-2.0033164e-04-2.0033164e-04 2.3691215e+08
 1.0084042e+08 1.0167016e+08-2.0641154e-04-2.0641154e-04 2.3701724e+08
 1.0086699e+08 1.0167788e+08-2.1891134e-04-2.1891134e-04 2.3720835e+08
 1.0162341e+08 1.0088001e+08-0.0000000e+00-0.0000000e+00 2.3735087e+08
 1.0170639e+08 1.0075302e+08-2.0695167e-04-2.0695167e-04 2.3747626e+08
 1.0159340e+08 1.0065294e+08-2.0366237e-04-2.0366237e-04 2.3737910e+08
 1.0159458e+08 1.0061966e+08-2.0124628e-04-2.0124628e-04 2.3723870e+08
 1.0148259e+08 1.0055697e+08-1.9924241e-04-1.9924241e-04 2.3709930e+08
 1.0155017e+08 1.0057827e+08-1.9783606e-04-1.9783606e-04 2.3714385e+08
 1.0151973e+08 1.0058374e+08-0.0000000e+00-0.0000000e+00 2.3715002e+08
 1.0157162e+08 1.0059143e+08-1.9547778e-04-1.9547778e-04 2.3718676e+08
 1.0311948e+08 1.0103637e+08-1.9548390e-04-1.9548390e-04 2.3779192e+08
 1.0169198e+08 1.0028892e+08-0.0000000e+00-0.0000000e+00 2.3717265e+08
 1.0314315e+08 1.0111558e+08-1.9307840e-04-1.9307840e-04 2.3787891e+08
 1.0143818e+08 1.0228822e+08-2.0091883e-04-2.0091883e-04 2.3822899e+08
 1.0171804e+08 1.0241820e+08-0.0000000e+00-0.0000000e+00 2.3885362e+08
